StartTime,Motion
0.0,18,589
0.093036767,4,642
0.219951329,4,614
0.304059211,0,0
0.391060318,3,519
0.499708315,0,0
0.592523289,0,0
0.692501159,0,0
0.78834069,0,0
0.89180714,0,0
0.989736664,3,457
1.096637979,0,0
1.193445849,0,0
1.291412614,0,0
1.390971647,0,0
1.499850157,0,0
1.59363374,0,0
1.692983911,3,507
1.794250923,0,0
1.897732849,0,0
1.995570758,0,0
2.11573622,0,0
2.213573885,0,0
2.290477152,3,508
2.393279265,0,0
2.494630047,0,0
2.591763493,0,0
2.690790021,0,0
2.790481129,0,0
2.890521588,0,0
2.989974456,0,0
3.090861245,0,0
3.192557244,0,0
3.291718686,0,0
3.389244222,0,0
3.489139499,0,0
3.593742117,0,0
3.700742421,0,0
3.81057593,389,580
3.919292183,459,547
4.015516163,549,480
4.093374962,607,372
4.198201871,634,331
4.343469725,639,273
4.426581305,687,218
4.511172965,719,180
4.622387229,798,158
4.738085345,832,159
4.821942167,800,177
4.908913677,863,228
4.994115872,907,249
5.095153398,893,214
5.205401393,875,235
5.318060627,868,214
5.417313847,804,187
5.491209442,763,242
5.588781636,721,214
5.693302588,784,187
5.792904453,735,234
5.893897849,743,226
5.989439217,819,178
6.088712691,747,246
6.19248192,754,143
6.290173008,750,209
6.388455768,800,185
6.492241759,734,239
6.596780324,814,177
6.692703761,809,188
6.788907221,810,165
6.889446443,812,161
6.990939922,821,178
7.090851884,811,168
7.190503968,825,174
7.296230338,810,163
7.392983009,822,197
7.49609988,820,163
7.624430237,836,159
7.723100765,845,160
7.819796728,832,135
7.923813394,856,143
8.014241833,873,164
8.104018749,884,153
8.195036467,849,108
8.292765609,857,116
8.389650367,867,108
8.49413804,889,114
8.594790257,893,98
8.714878418,891,90
8.82952958,917,86
8.940270582,926,105
9.034893679,943,116
9.114794814,980,157
9.203393334,956,111
9.283940236,961,112
9.393624543,1198,114
9.48715776,1008,111
9.584210282,1015,122
9.684344282,1025,136
9.794511436,991,152
9.892281859,979,162
9.984595131,991,126
10.087082501,968,115
10.188219443,957,110
10.288370484,1002,153
10.388898278,954,119
10.49299374,960,109
10.592855005,1027,176
10.686807259,979,120
10.786742206,976,117
10.894765336,982,121
11.011841968,984,113
11.116657349,1189,171
11.198221241,1087,192
11.291136062,1187,174
11.385353522,1089,190
11.48813142,1095,184
11.585951743,1017,114
11.685022971,1188,139
11.785127181,1096,183
11.900745005,1038,113
12.003338113,1113,166
12.088857999,1136,143
12.192876014,1155,124
12.296872859,1154,125
12.39141405,1153,126
