StartTime,Motion
0.0,-1
0.79969267,0
0.999809459,1
1.799941663,0
2.199738717,-1
2.802632246,-2
3.200405058,-1
3.800268074,-2
4.600280227,-1
6.801084915,-2
7.400335194,-3
9.201268458,-2
9.400320032,-1
9.800742495,-2
10.600348815,-3
10.801245822,-2
11.200342785,-1
11.601284466,0
13.600386639,-1
14.002006944,0
14.400826611,-1
15.800794504,0
16.600768257,-1
19.000780578,-2
20.402380819,-1
20.600765858,0
22.200944788,1
24.001046448,2
25.202262974,3
25.40094172,4
25.801142639,3
26.001832082,4
26.601242541,3
27.800982055,4
28.401347293,5
28.601031555,6
29.202153392,7
29.400988954,6
29.801075514,7
30.002313984,6
30.200949313,7
30.401020349,6
31.602169115,7
32.001426144,6
33.801700012,7
34.201356625,6
34.601405045,7
35.001484602,6
36.601342087,5
37.001493131,6
38.401398786,7
39.001434443,8
39.606225799,7
40.402223365,6
41.202212459,5
41.80156296,6
42.601464234,7
42.801610054,6
43.401492927,5
43.606291784,4
45.801359946,3
46.005355405,2
46.401452284,3
48.801510807,2
49.601670161,3
50.002663843,4
51.201420543,3
52.001539305,2
52.801567404,1
54.201562094,2
54.401510633,3
54.601445423,4
54.8036632,5
56.801532833,6
57.401521496,5
58.804177185,6
59.001489341,5
60.80173247,6
61.801620234,7
62.003038646,8
62.201493177,7
64.802590953,8
65.203480755,7
66.402700033,8
66.802735513,7
67.002699523,6
67.402774438,7
67.602770722,6
69.203087844,5
70.803386201,4
71.202738307,5
71.606803403,4
72.802875018,5
74.202722042,6
74.402722265,5
75.60416551,4
76.202903204,3
76.602748826,4
77.602941744,3
77.80298117,2
78.202954041,3
78.603015286,2
80.20308154,1
81.002951216,0
81.204139988,1
83.607939093,2
84.803039577,3
85.402953322,4
86.203029289,3
88.203068048,4
88.404118329,3
90.004074998,2
90.203119034,3
90.403049487,2
91.003122894,3
91.203167726,2
91.403058931,1
92.003099206,0
92.803060055,-1
93.603162163,-2
94.004403394,-1
94.60486207,-2
94.8048883,-3
95.203042047,-4
95.403337858,-3
96.003087019,-4
96.404003396,-3
96.803329091,-4
97.603400802,-5
98.005222597,-4
98.403066078,-5
99.003050909,-4
100.203364653,-3
100.603199197,-2
100.803441384,-3
101.211003878,-4
101.403182284,-3
101.603200877,-4
103.211569028,-5
103.403332377,-6
104.80321151,-7
105.003321084,-8
105.603559551,-9
106.603436065,-8
107.003203825,-9
108.003360169,-10
108.803510091,-11
109.603476825,-12
109.803522319,-11
110.403390578,-12
111.003525029,-11
111.203516302,-12
111.607891252,-11
112.803617165,-12
113.40367039,-11
113.603483914,-12
114.403527431,-13
114.603574973,-12
115.203762539,-13
115.403544446,-12
116.003540331,-13
116.603486204,-12
117.603572894,-13
118.40350687,-14
118.603614118,-13
118.807880546,-12
119.203638026,-13
119.403519361,-12
120.203715962,-11
121.003823793,-10
124.203717906,-9
125.204238473,-8
126.203643846,-7
126.403597558,-6
127.403576805,-5
127.605495421,-4
128.003727706,-5
128.203676231,-6
129.803694467,-7
130.005001718,-6
130.403782215,-5
130.603574025,-6
130.805751162,-5
131.403857041,-6
132.603747915,-7
133.003768014,-8
133.803694888,-9
134.203850865,-8
137.20463972,-7
139.403940311,-8
141.804572527,-9
142.005199322,-10
142.20427374,-9
142.604332181,-8
143.004431357,-7
143.60555757,-8
144.405925639,-9
144.804299759,-8
145.20645972,-9
145.604478749,-8
146.20456248,-7
147.004654391,-6
147.204516085,-7
148.405380374,-6
149.004522024,-5
149.205137172,-4
149.404511317,-5
149.804571132,-4
150.2045035,-5
151.004497188,-6
151.404720674,-5
151.606338712,-4
152.804518586,-3
153.205332203,-4
156.605858205,-3
156.804603975,-4
158.204620022,-5
158.604622729,-6
159.204620956,-7
160.004685653,-8
161.004795775,-7
161.404521072,-6
163.004795269,-5
163.404574954,-6
164.20459257,-7
166.204544654,-6
167.004566486,-5
167.606707445,-6
168.604571637,-5
169.004600948,-6
169.205408101,-7
170.006273244,-8
170.805906572,-9
172.804888916,-8
173.205535827,-9
174.604866763,-10
174.805629954,-11
175.004867576,-12
175.606133925,-13
175.805788911,-14
177.00495405,-13
178.205290237,-12
178.404992993,-13
