StartTime,Motion
46.786578197,15,723
46.891313375,25,767
47.000143126,26,745
47.08689037,20,748
47.184555941,22,640
47.28750878,26,651
47.390676961,25,607
47.488563776,24,583
47.594245879,41,602
47.692091886,43,732
47.789514319,43,653
47.891243845,27,608
47.991973385,21,609
48.09406308,37,635
48.18840414,42,620
48.289067706,31,624
48.388408662,32,660
48.48895878,36,741
48.584376299,19,640
48.684379279,34,653
48.784733653,32,652
48.887165936,33,655
48.987054823,31,662
49.092060926,53,717
49.197873183,34,634
49.289958031,77,764
49.39097448,88,757
49.486346821,84,688
49.584632127,84,675
49.68653046,92,756
49.78658085,78,679
49.885862534,114,693
49.989741067,126,654
50.091121125,117,651
50.205449383,103,674
50.302206035,112,691
50.385299681,91,690
50.489213899,110,754
50.586618368,79,621
50.686521906,110,748
50.786415157,104,761
50.887585243,96,773
50.993208326,87,678
51.084470513,94,652
51.184977931,74,654
51.287260332,79,678
51.386872266,92,632
51.489657604,123,737
51.588006047,129,719
51.688009688,147,714
51.785172395,158,709
51.885196752,163,704
51.986988544,165,721
52.085913615,157,720
52.187778022,151,728
52.292219732,149,719
52.389033292,139,720
52.493042849,113,672
52.586478314,116,760
52.685819628,120,749
52.787244566,119,763
52.890436989,116,765
52.986602024,130,739
53.086773538,136,753
53.187225127,157,752
53.287457435,186,784
53.39118042,60,352
53.495772714,68,302
53.614958089,82,303
53.699436984,87,313
53.789423427,100,304
53.889141349,191,577
53.994637826,97,301
54.08988841,181,565
54.185802787,188,564
54.287706964,92,288
54.388520377,193,564
54.487947429,206,549
54.58786638,220,525
54.688496761,223,530
54.79110352,229,542
54.887186567,228,546
54.989064059,221,568
55.094750051,212,566
55.188022046,205,570
55.288381287,199,572
55.391779861,91,299
55.488760385,203,559
55.592884786,97,281
55.691348628,222,532
55.786590365,233,557
55.891856508,118,270
55.985447584,124,276
56.093123292,130,282
56.188458535,194,441
56.287143631,183,506
56.389257592,174,412
56.486152152,230,563
56.59200598,229,547
56.693552074,56,278
56.791863894,112,437
56.894827093,72,317
56.991345853,69,338
57.088854289,51,344
57.189671487,47,295
57.288688088,44,321
57.388629095,53,303
57.489011289,67,296
57.590525539,48,307
57.690683476,52,296
57.788478146,55,290
57.886381358,53,282
57.986889771,186,548
58.092616755,95,348
58.186403332,66,323
58.29100671,53,300
58.388826917,66,336
58.487531107,33,338
58.588857199,28,333
58.693420523,128,683
58.786811938,29,308
58.887341073,75,630
58.988233977,85,632
59.099137336,95,693
59.194717323,105,682
59.293523245,111,767
59.392379766,120,773
59.49125659,136,747
59.588702258,145,689
59.687178551,105,694
59.787572007,104,689
59.887443309,129,658
59.996449684,155,695
60.094474937,138,681
60.19564782,160,755
60.294178619,140,733
60.391296674,149,668
60.48813869,19,368
60.589165307,138,659
60.697046743,34,313
60.792713685,44,322
60.894944968,28,365
60.99728396,48,306
61.111389708,146,692
61.216059918,37,408
61.290717685,48,322
61.390342705,29,344
61.490766227,24,346
61.593046532,43,307
61.691079186,134,683
61.790434847,168,700
61.894902397,30,373
61.989761843,46,324
62.08898722,41,308
62.19372573,131,684
62.296428998,38,322
62.386959731,24,369
62.488329533,163,755
62.594420918,33,316
62.687238479,139,703
62.788651493,33,330
62.887541081,113,744
62.988057181,131,683
63.088503898,109,766
63.192520836,130,703
63.299685882,136,764
63.395780538,155,730
63.48889735,173,693
63.590315901,32,295
63.687605497,46,340
63.793363831,47,348
63.88788095,158,670
63.986480173,43,309
64.087224896,157,721
64.187218082,47,357
64.287509101,174,673
64.390367122,34,322
64.488780612,59,297
64.587912076,48,298
64.687058547,107,459
64.794775729,53,322
64.888715284,43,315
64.991723279,58,346
65.089958235,50,373
65.194009506,80,458
65.290199181,60,358
65.387266789,53,351
65.487331933,63,298
65.592677904,97,452
65.688798962,69,308
65.795109107,88,283
65.893717919,110,392
65.991490171,59,305
66.088882103,57,283
66.191460226,56,339
66.28869977,42,345
66.392972912,64,353
66.489034793,46,285
66.593504729,47,343
66.691567276,48,316
66.807550867,32,306
66.897475557,57,397
66.989007842,63,345
67.088013583,74,343
67.190051068,28,348
67.290123356,46,365
67.392602194,35,282
67.498980813,50,281
67.590209035,50,285
67.691036806,44,286
67.790871926,68,331
67.90359223,44,308
67.999604311,69,369
68.091352945,53,277
68.187591166,69,337
68.287918706,35,299
68.391269281,44,337
68.493480929,42,314
68.587821945,32,281
68.694828922,48,294
68.803055826,78,372
68.894826851,64,369
68.991607297,67,369
69.088089453,89,426
69.189176851,54,411
69.288099867,51,353
69.388620603,151,672
69.486936854,145,680
69.590921733,83,699
69.697576625,86,750
69.795226522,156,792
69.906084253,117,758
70.028332779,128,750
70.132586452,155,741
70.207850171,182,732
70.287680003,56,436
70.389874918,58,424
70.495625078,53,424
70.593886695,59,421
70.692890836,44,401
70.79327999,46,415
70.888787531,59,401
70.99496342,66,384
71.089943595,116,455
71.194032949,52,398
71.291410113,40,391
71.390202394,46,346
71.488750822,31,301
71.588882998,30,348
71.687891502,20,377
71.787653008,20,377
71.887653665,20,386
71.98837811,30,353
72.089543777,20,394
72.190648517,27,413
72.290991012,147,702
72.390992459,141,695
72.490613387,143,689
72.590840306,147,701
72.690393523,148,716
72.792997464,153,721
72.891747461,144,726
72.995702952,145,733
73.093128795,172,764
73.195299606,127,744
73.294513232,123,746
73.415989744,127,751
73.501952744,136,748
73.593496441,178,731
73.692362013,63,455
73.789380803,105,436
73.896347036,133,403
73.989023868,193,402
74.089954284,184,322
74.190294307,469,552
74.305393598,197,259
74.422906229,220,199
74.527594936,226,97
74.607206407,279,142
74.695896242,260,179
74.793896018,184,181
74.888665966,280,189
74.99231165,284,180
75.094221163,291,171
75.194624728,253,118
75.290848074,667,296
75.398434277,698,341
75.487588735,263,101
75.594992004,299,106
75.688197761,279,97
75.788532693,284,118
75.891370614,241,127
75.987787161,312,98
76.088926594,536,103
76.190577816,321,83
76.289283244,305,120
76.390976159,237,127
76.492832424,239,131
76.588170238,524,73
76.686242902,292,108
76.785886031,695,275
76.887605166,347,122
76.985469329,368,145
77.086520876,726,300
77.192408285,723,294
77.299623148,715,280
77.385948502,794,355
77.486979017,779,288
77.58625519,736,207
77.69101041,797,299
77.786511571,832,321
77.891470521,806,265
77.989659226,776,158
78.087261878,706,115
78.186954468,770,159
78.291719796,770,147
78.388536468,783,156
78.488671677,812,197
78.589607854,798,149
78.688608399,809,146
78.793842259,809,163
78.888875798,819,158
78.988473602,840,133
79.088711801,840,141
79.198799909,840,139
79.302498649,839,138
79.389897804,837,140
79.491009686,834,153
79.587777055,841,147
79.687998352,830,143
79.791809131,821,148
79.888795267,815,150
79.998629944,819,150
80.098432163,807,158
80.191408082,791,160
80.286547651,820,205
80.386499368,808,192
80.485972989,717,92
80.588270167,815,193
80.688803209,795,160
80.791351422,785,170
80.893097611,737,98
81.013937266,817,180
81.10854229,886,179
81.190567395,898,157
81.287287474,877,162
81.388139831,916,196
81.487755075,897,166
81.587913186,940,145
81.693262454,912,116
81.795448055,969,142
81.897353614,976,131
82.028441921,973,116
82.143021769,970,133
82.224392104,953,70
82.308308054,931,410
82.412518604,959,77
82.507651047,923,380
82.592858503,994,115
82.691365592,945,367
82.785966429,948,348
82.88658434,965,361
82.986569281,951,339
83.086667436,965,352
83.195466519,957,351
83.291013807,960,342
83.390084356,1011,559
83.494412298,950,570
83.589253465,999,593
83.695111231,982,333
83.788310072,984,332
83.888001025,999,336
83.990660488,1021,330
84.094222579,1021,335
84.197720068,1014,278
84.292877882,1028,320
84.389335306,1015,346
84.489812181,1000,355
84.587257871,1013,362
84.687047868,1008,373
84.786569309,959,289
84.887611937,970,284
84.985809661,1037,366
85.086081435,1065,277
85.186250111,1062,248
85.286339417,1094,245
85.394207579,1121,295
85.488582614,1112,260
85.588051337,1104,233
85.688666825,1145,102
85.787251941,1163,273
85.890419559,1147,274
85.989348326,1145,259
86.088034431,1145,244
86.208398079,1151,256
86.324700142,1123,248
86.396414965,1158,262
86.493348617,1162,246
86.590792356,1147,235
86.690330433,1164,265
86.79481233,1167,261
86.898924183,1157,258
86.986293751,1137,253
87.086202045,1149,270
87.188012468,1137,267
87.28924671,1132,260
87.388331389,1127,230
87.489907457,1125,260
87.596942785,1153,280
87.694625929,1120,264
87.792166582,1101,273
87.890544017,1090,298
87.987294166,1115,288
88.088086862,1073,54
88.188700239,1108,265
88.289840818,1099,256
88.391156848,1100,250
88.488490545,1109,304
88.603333641,1133,273
88.713611381,1162,260
88.825318155,1183,242
88.917848285,1206,209
88.989155809,1216,229
89.091663389,1223,210
89.18840583,1209,202
89.28591071,1204,199
89.38832583,1236,187
89.487085034,1239,144
89.591074036,1235,179
89.689967474,1237,165
89.789910753,1229,144
89.888674378,1207,72
89.988200438,1243,56
90.090406387,1233,120
90.185406396,1240,116
90.286670188,1211,140
90.390013154,1226,53
90.489326009,1224,55
90.593602238,1158,220
90.703150006,1164,217
90.792686599,1159,238
90.889459153,1136,245
91.003169527,1163,84
91.105743347,1153,251
91.191044072,1167,209
91.290030302,1154,215
91.389866679,1139,264
91.48912676,1163,259
91.588720192,1101,168
91.689004109,1084,159
91.787617998,1094,161
91.892440606,1097,182
91.99554581,1094,169
92.092511289,1125,220
92.187582568,1103,116
92.288083417,1112,199
92.390961143,1122,247
92.492640471,1134,211
92.588645152,1132,275
92.689170389,1132,212
92.793805212,1069,148
92.89257827,1066,155
92.993145316,1082,159
93.09390677,1166,223
93.189277694,1182,261
93.287590197,1176,206
93.387400706,1207,246
93.489039158,1216,186
93.592219871,1227,140
93.68985736,1169,110
93.786907801,1170,109
93.8890969,1191,88
93.988157257,1178,101
94.095507421,1180,99
94.19013866,1203,76
94.287503533,1209,70
94.387074609,1247,56
94.487791607,1234,121
94.58884553,1195,172
94.688582217,1135,202
94.790612272,1152,255
94.892358535,1139,302
94.988831036,1099,269
95.099773853,1082,280
95.195345983,1094,346
95.291355639,1085,259
95.395665924,1113,328
95.49330223,1094,323
95.592138281,1088,332
95.691899828,1089,335
95.7885698,1078,333
95.888219624,1083,297
95.989621036,1095,218
96.089581021,1098,290
96.199701551,1138,373
96.306240336,1138,317
96.417198319,1135,227
96.525799729,1142,137
96.602373775,1155,124
96.687751887,1185,94
96.792218216,1189,120
96.891475404,1170,109
96.990305422,1240,124
97.093446681,1252,158
97.187192223,1227,52
97.287883647,1215,64
97.395914467,1194,85
97.515847285,1216,63
97.626248146,1225,54
97.710514407,1225,64
97.796370831,1218,68
97.893317794,1219,60
97.990426505,1249,35
98.089963522,1191,88
98.190263961,1238,60
98.290077603,1216,63
98.389105287,1199,80
98.493121534,1226,53
98.595285059,1203,76
98.687535895,1212,67
98.789551213,1180,99
98.888671883,1189,90
98.993891828,1181,98
99.089445731,1185,94
99.188541547,1173,106
99.290092431,1197,82
99.388699545,1153,126
99.491034736,1154,125
99.594927736,1115,196
99.689674158,1109,124
99.80881707,1132,280
99.896561548,1109,284
99.993296919,1105,279
100.09499911,1107,268
100.187709738,1116,288
100.288538844,1086,284
100.393827138,1118,370
100.492501225,1088,302
100.618823986,1053,283
100.728184917,1033,358
100.812857187,1026,391
100.896183863,1047,312
100.9915757,1006,235
101.090665901,1057,316
101.190829961,1056,316
101.290603301,1061,305
101.390313072,1034,312
101.491313956,1059,312
101.594037666,1066,310
101.691360618,1057,296
101.795316133,1063,316
101.895099343,1081,302
101.990715576,1065,60
102.092112251,1067,305
102.191521378,1061,294
102.289756358,1079,297
102.391708347,1067,294
102.489769308,1054,284
102.589513971,1071,314
102.690175564,1071,303
102.791634193,1072,304
102.907428371,1065,318
103.022441433,1070,308
103.115841119,1071,273
103.194276633,1073,100
103.292462815,1064,292
103.386417509,1076,282
103.48787133,1079,274
103.591771197,1069,278
103.690465014,1069,265
103.787692238,1075,264
103.887591072,1085,252
103.99188938,1091,192
104.08591886,1120,124
104.185898882,1114,277
104.289408053,1087,200
104.386965333,1098,199
104.487427889,1085,220
104.593043835,1085,289
104.686637229,1091,226
104.787456224,1079,288
104.88966226,1075,178
104.988041171,1076,282
105.090646457,1075,280
105.192523716,1069,293
105.307544478,1064,231
105.409877819,1073,308
105.486952462,1062,292
105.58788523,1074,285
105.691085122,1076,293
105.787261261,1064,270
105.892943947,1100,248
105.986658577,1094,317
106.088216144,1124,313
106.191695507,1120,229
106.301895533,1111,267
106.394642936,1124,290
106.50849457,1123,294
106.596981163,1100,243
106.687061342,1097,183
106.78899111,1118,215
106.886156849,1134,222
106.98609873,1115,218
107.091013981,1129,275
107.190830145,1129,406
107.297295565,1115,184
107.411277566,1070,171
107.491421061,1128,271
107.586263156,1135,409
107.687034814,1134,239
107.785499609,1129,208
107.88570605,1134,239
107.985922122,1129,254
108.087223593,1134,209
108.190149501,1112,81
108.287590816,1055,240
108.387717161,1014,261
108.48653149,1019,285
108.591469546,1078,297
108.68774616,1084,259
108.789706031,1083,236
108.889914988,1091,259
108.989633624,1095,228
109.089900223,1091,240
109.188316597,1092,236
109.293281978,1112,239
109.388180303,1104,219
109.497337432,1097,229
109.601557811,1102,221
109.692463779,1091,223
109.789134579,1082,239
109.889527427,1080,241
109.989744465,1085,246
110.089290299,1107,264
110.188444996,1089,247
110.290060206,1089,247
110.394113,1082,238
110.489439998,1085,234
110.592373923,1101,240
110.693084271,1092,246
110.78756606,1132,279
110.891873034,1111,223
110.987533916,1168,361
111.086775653,1143,200
111.186336614,1163,221
111.288084038,1168,222
111.388070965,1169,344
111.489434877,1113,234
111.607836753,1099,240
111.718979825,1101,216
111.834710278,1108,214
111.906273846,1102,205
111.989920863,1104,198
112.088122735,1102,196
112.186276805,1118,213
112.287100549,1100,199
112.393535414,1102,201
112.487674493,1109,201
112.587915514,1143,245
112.687057605,1152,269
112.794726481,1179,248
112.887776796,1184,244
112.991136968,1195,218
113.091484123,1208,207
113.18983437,1224,55
113.28929618,1209,141
113.389383639,1208,79
113.489481594,1206,153
113.591977486,1247,195
113.696390659,1229,202
113.795838677,1166,113
113.899340525,1169,110
113.988659943,1165,114
114.086831726,1177,102
114.187284787,1181,98
114.287224106,1161,118
114.386681656,1165,114
114.489937857,1156,123
114.592057077,1179,100
114.691025214,1174,105
114.788734271,1171,108
114.890419103,1185,94
114.994653549,1183,96
115.112453311,1193,86
115.216031139,1181,98
115.292823284,1182,97
115.389750166,1189,90
115.489634087,1172,107
115.588819101,1172,107
115.690543985,1171,108
115.789088686,1170,109
115.891408473,1130,149
115.998757379,1118,149
116.09392448,1131,148
116.193369478,1161,118
116.299082184,1126,153
116.387520404,1127,188
116.486960947,1117,162
116.593095651,1111,158
116.689474723,1125,154
116.792286555,1147,132
116.891061263,1122,157
116.993013516,1130,149
117.095923876,1121,158
117.191010808,1134,145
117.289736538,1122,157
117.393908102,1123,156
117.490850909,1128,151
117.594247328,1123,156
117.691095867,1128,151
117.795452271,1139,140
117.894906161,1175,104
117.990276205,1203,76
118.095315174,1184,95
118.190730747,1195,84
118.291663565,1209,70
118.395720015,1213,66
118.487836495,1210,69
118.59221102,1203,76
118.690427308,1200,79
118.789882745,1197,82
118.890675435,1225,107
118.99059093,1216,63
119.095264531,1217,62
119.191695015,1239,83
119.291708624,1244,35
119.393191203,1246,33
119.497343744,1239,40
119.608625384,1234,45
119.695570115,1229,50
119.7892322,1246,33
119.88971107,1237,42
119.991491068,1237,42
120.092551208,1236,43
120.200172281,1241,38
120.312986315,1244,35
120.391555206,1241,38
120.491794751,1228,51
120.589330662,1216,63
120.689971802,1213,66
120.795776243,1211,68
120.892788267,1229,50
120.988365847,1215,64
121.088112905,1208,71
121.191359113,1216,63
121.291444032,1214,65
121.401648802,1203,109
121.521748818,1182,97
121.630381582,1221,58
121.696308541,1233,46
121.800762068,1162,75
121.892745437,1248,32
121.991521048,1237,128
122.091544016,1239,114
122.187880061,1119,180
122.292004596,1159,181
122.393787059,1141,138
122.494206522,1125,154
122.592116354,1162,117
122.697775893,1176,320
122.802196872,1164,275
122.903339035,1172,292
122.99324734,1181,98
123.087822964,1174,291
123.193000345,1178,277
123.296922004,1158,253
123.399028956,1129,294
123.497848564,1125,337
123.592686237,1160,291
123.689055243,1176,343
123.798424636,1175,270
123.892510664,1150,229
123.995403735,1161,343
124.094058694,1163,349
124.190399075,1141,292
124.287646609,1181,356
124.391302388,1151,340
124.49418779,1137,354
124.588724466,1138,368
124.688907784,1132,277
124.791621447,1167,271
124.893211882,1161,235
124.989533506,1168,328
125.088992969,1153,126
125.194447889,1088,177
125.28972474,1128,109
125.390424751,1126,351
125.487350213,1129,357
125.593666459,1130,384
125.694473777,1152,165
125.806637287,1175,398
125.899855685,1136,127
125.994215472,1143,127
126.090243575,1145,116
126.192756444,1151,327
126.291270806,1148,215
126.391469666,1159,353
126.491564252,1156,261
126.591244513,1146,338
126.696725745,1149,219
126.791042057,1126,214
126.892371849,1142,316
126.989222591,1074,157
127.099578115,1139,341
127.193075045,1134,294
127.295995769,1126,95
127.408050136,1120,342
127.495049378,1129,357
127.592513133,1125,311
127.692383857,1186,317
127.808524955,1169,300
127.898305652,1150,342
128.004178955,1093,310
128.095272414,1108,279
128.190969042,1133,342
128.293751626,1129,347
128.394985703,1099,316
128.487833324,1088,342
128.592037435,1045,335
128.69816324,1068,457
128.790665097,1081,596
128.890367555,1098,326
128.991283153,1076,310
129.091759397,1073,342
129.189653311,1043,158
129.29284711,1104,391
129.396907494,1084,312
129.49092981,1156,123
129.592732528,1175,104
129.693942331,1123,294
129.789513001,1111,310
129.889496828,1160,337
129.997548264,1129,292
130.092634193,1110,300
130.188874894,1104,563
130.292286605,1066,311
130.393898677,1118,362
130.492843998,1117,314
130.590695535,1150,307
130.692729771,1162,119
130.788989932,1132,147
130.888645936,1187,339
130.989094018,1156,123
131.092036198,1160,119
131.189019654,1163,285
131.294059671,1190,293
131.395912714,1100,295
131.498189445,1094,162
131.632065107,1049,377
131.707303754,1015,358
131.792254587,991,368
131.891386437,979,365
131.996668432,972,350
132.097450541,993,319
132.198628248,998,325
132.298249338,993,340
132.396189194,986,345
132.494905484,979,351
132.586353957,979,340
132.689798357,1039,455
132.785956057,1047,345
132.889321252,1028,318
132.986136786,1027,339
133.087236227,1032,324
133.185954917,1036,302
133.285288371,1037,298
133.393515072,1044,289
133.503588322,1055,281
133.624466988,1108,598
133.734157459,1072,292
133.824395115,1072,296
133.901509254,1058,282
133.986852582,1062,275
134.087695732,1042,265
134.193409285,1055,601
134.288427994,1037,594
134.387293108,1077,606
